cat_no,cat_nm,item_cd,item_nm,ssg_price,unit,rate,rate_cnt
6000098014,면류/즉석식품/소스/오일,1000005893792,파스타소스600g(토마토),"3,980",(100g당:664원),별점 4.92점,"(31,007개)"
6000098014,면류/즉석식품/소스/오일,0000008023235,[풀무원] 우동 사리면 210g,980,(100g당:467원),별점 4.92점,"(22,809개)"
6000098014,면류/즉석식품/소스/오일,1000021261923,[노브랜드] 짜장라면 5개입,"2,280",(1개당:456원),별점 4.83점,"(31,543개)"
6000098014,면류/즉석식품/소스/오일,1000018003368,노브랜드 담백한 살코기참치 90g,980,(10g당:109원),별점 4.93점,"(24,335개)"
6000098014,면류/즉석식품/소스/오일,1000005893793,파스타소스600g(로제),"3,980",(100g당:664원),별점 4.94점,"(35,535개)"
6000098014,면류/즉석식품/소스/오일,1000043620752,농심 앵그리짜파구리 큰사발,"1,240","(1개당:1,240원)",별점 4.85점,"(8,566개)"
6000098014,면류/즉석식품/소스/오일,0000007513645,다담 바지락 순두부 기획 140g3,"3,580",(100g당:853원),별점 4.93점,"(40,504개)"
6000098014,면류/즉석식품/소스/오일,1000028721198,농심 사리면 110g*5입,"1,380",(1개당:276원),별점 4.9점,"(31,819개)"
6000098014,면류/즉석식품/소스/오일,1000005328486,동원참치 살코기 라이트스탠다드(135g×8) 1080g,"14,480",(10g당:135원),별점 4.95점,"(17,773개)"
6000098014,면류/즉석식품/소스/오일,1000020106046,폰타나 볼로냐 볼로네제 파스타소스 430g,"4,180",(100g당:973원),별점 4.92점,"(5,803개)"
6000098014,면류/즉석식품/소스/오일,1000005893743,파스타소스600g(아라비아따),"3,980",(100g당:664원),별점 4.92점,"(13,853개)"
6000098014,면류/즉석식품/소스/오일,0000006610188,[팔도 Paldo] 왕뚜껑 110g,780,(1개당:780원),별점 4.94점,"(46,849개)"
6000098014,면류/즉석식품/소스/오일,0000006609540,[오뚜기] 열라면 5입 (120g*5입),"2,780",(1개당:556원),별점 4.94점,"(43,098개)"
6000098014,면류/즉석식품/소스/오일,1000012334046,"[피코크] 초마짬뽕1,240g","8,480",(100g당:684원),별점 4.87점,"(46,830개)"
6000098014,면류/즉석식품/소스/오일,0000006621455,[오뚜기] 양조식초 1.8L,"1,980",(10ml당:11원),별점 4.93점,"(89,023개)"
6000098014,면류/즉석식품/소스/오일,0000007009262,CJ 가쓰오우동4인 933.2g,"6,980",(100g당:749원),별점 4.92점,"(27,521개)"
6000098014,면류/즉석식품/소스/오일,0000007632909,[농심] 멸치 칼국수(98g5입) 490g,"3,280",(1개당:656원),별점 4.91점,"(33,231개)"
6000098014,면류/즉석식품/소스/오일,1000009444837,"CJ 스팸 클래식 1,200g (200g*6입)","15,980",(10g당:134원),별점 4.94점,"(38,352개)"
6000098014,면류/즉석식품/소스/오일,0000006609430,[오뚜기] 토마토케찹500g,"2,250",(100g당:450원),별점 4.95점,"(55,441개)"
6000098014,면류/즉석식품/소스/오일,0000008333640,[농심] 신라면 컵 6입 390g (65g6입),"4,500",(1개당:750원),별점 4.95점,"(49,304개)"
6000098014,면류/즉석식품/소스/오일,1000013792345,오뚜기 진짬뽕 130g 4입,"3,980",(1개당:995원),별점 4.94점,"(58,756개)"
6000098014,면류/즉석식품/소스/오일,0000006615168,[풀무원] 생칼국수 550g (4인분),"3,380",(100g당:615원),별점 4.91점,"(17,963개)"
6000098014,면류/즉석식품/소스/오일,0000008882973,맛있는 오뚜기밥 실속 (210g*12입),"10,950",(100g당:435원),별점 4.94점,"(25,432개)"
6000098014,면류/즉석식품/소스/오일,1000010947370,CJ 햇반 아산맑은쌀밥 210g x 8개,"8,980",(100g당:535원),별점 4.94점,"(32,219개)"
6000098014,면류/즉석식품/소스/오일,0000007690677,카레여왕 마늘양파 108g,"2,580","(100g당:2,389원)",별점 4.95점,"(61,846개)"
6000098014,면류/즉석식품/소스/오일,2097000930060,[잭스빈] 후무스 오리지널,"4,300",,별점 4.69점,(530개)
6000098014,면류/즉석식품/소스/오일,2097000895840,수지스 유기농 허니 머스터드 355ml,"7,184","(100ml당:2,024원)",별점 4.72점,(61개)
6000098014,면류/즉석식품/소스/오일,2097001027653,닥터키친밥 현미곤약 480g(3개입),"7,990",(160g당:888원),별점 4.9점,(90개)
